address,rent,beds,baths,sqft,url,neighborhood,dishwasher,in_unit_laundry,amenities,open_house,open_house_start,open_house_end,status,first_seen_at,last_seen_at,notes,source
"20 Rockwell Place #1810H, New York, NY",$3798,0,1,,https://streeteasy.com/building/the-rocklyn/1810h,,,,new development,Thu Jul 30 · 12:00 PM–6:00 PM,2026-07-30T12:00,2026-07-30T18:00,active,2026-07-29,2026-07-29,,streeteasy_html
"20 Rockwell Place #2310D, New York, NY",$3822,0,1,,https://streeteasy.com/building/the-rocklyn/2310d,,,,new development,Wed Jul 29 · 12:00 PM–6:00 PM,2026-07-29T12:00,2026-07-29T18:00,active,2026-07-28,2026-07-28,,streeteasy_html
"20 Rockwell Place #2310F, New York, NY",$3822,0,1,,https://streeteasy.com/building/the-rocklyn/2310f,,,,new development,Sun Jul 25 · 11:00 AM–5:00 PM,2027-07-25T11:00,2027-07-25T17:00,active,2026-07-27,2026-07-29,,streeteasy_html
"20 Rockwell Place #2502D, New York, NY",$3702,0,1,,https://streeteasy.com/building/the-rocklyn/2502d,,,,new development,,,,active,2026-07-27,2026-07-27,,streeteasy_html
"20 Rockwell Place #2525R, New York, NY",$3441,0,1,,https://streeteasy.com/building/the-rocklyn/2525r,,,,new development,Sun Jul 25 · 11:00 AM–5:00 PM,2027-07-25T11:00,2027-07-25T17:00,active,2026-07-27,2026-07-29,,streeteasy_html
"20 Rockwell Place #528S, New York, NY",$3270,0,1,,https://streeteasy.com/building/the-rocklyn/528s,,,,new development,Sun Jul 25 · 11:00 AM–5:00 PM,2027-07-25T11:00,2027-07-25T17:00,active,2026-07-27,2026-07-29,,streeteasy_html
"20 Rockwell Place #606G, New York, NY",$3322,0,1,,https://streeteasy.com/building/the-rocklyn/606g,,,,new development,Wed Jul 29 · 12:00 PM–6:00 PM,2026-07-29T12:00,2026-07-29T18:00,active,2026-07-28,2026-07-29,,streeteasy_html
"200 Macdougal Street #2F, Brooklyn, NY",$2700,2,1,,https://streeteasy.com/building/200-mac-dougal-street-brooklyn/2f,,,,,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"207 East 27th Street #3B, New York, NY",$3450,0,1,,https://streeteasy.com/building/207-east-27th-street/3b,Kips Bay,,,,,,,active,2026-07-28,2026-07-29,,streeteasy_html
"21 West Street #14F, New York, NY",$3830,0,1,595,https://streeteasy.com/building/21-west-street/14f,Financial District,,,,,,,active,2026-07-28,2026-07-29,,streeteasy_html
"21 West Street #16F, New York, NY",$3850,0,1,595,https://streeteasy.com/building/21-west-street/16f,Financial District,,,,,,,active,2026-07-27,2026-07-29,,streeteasy_html
"21 West Street #4G, New York, NY",$3760,0,1,626,https://streeteasy.com/building/21-west-street/04g,Financial District,,,,,,,active,2026-07-29,2026-07-29,,streeteasy_html
"21 West Street #7H, New York, NY",$3800,0,1,521,https://streeteasy.com/building/21-west-street/07h,Financial District,,,,,,,active,2026-07-28,2026-07-29,,streeteasy_html
"210 East 22nd Street #GLL, New York, NY",$3650,0,1,,https://streeteasy.com/building/210-east-22-street-new_york/gll,Gramercy Park,,,,,,,active,2026-07-27,2026-07-29,,streeteasy_html
"218 Avenue A #3RN, New York, NY",$3895,1,1,,https://streeteasy.com/building/218-avenue-a-new_york/3rn,East Village,,,,,,,active,2026-07-28,2026-07-29,,streeteasy_html
"218 Myrtle Avenue #3D, Brooklyn, NY",$3250,0,1,470,https://streeteasy.com/building/the-andrea/3d,Downtown Brooklyn,,,,,,,active,2026-07-28,2026-07-29,,streeteasy_html
"224 3rd Avenue #2C, New York, NY",$2979,0,1,,https://streeteasy.com/building/the-cornice/2c,,,,new development,Thu Jul 30 · 9:00 AM–8:00 PM,2026-07-30T09:00,2026-07-30T20:00,active,2026-07-27,2026-07-29,base $3250; using net effective rent,streeteasy_html
"224 3rd Avenue #4H, New York, NY",$3117,0,1,,https://streeteasy.com/building/the-cornice/4h,,,,new development,Thu Jul 30 · 9:00 AM–8:00 PM,2026-07-30T09:00,2026-07-30T20:00,active,2026-07-27,2026-07-29,base $3400; using net effective rent,streeteasy_html
"224 3rd Avenue #9G, New York, NY",$3942,1,1,,https://streeteasy.com/building/the-cornice/9g,,,,new development,Thu Jul 30 · 9:00 AM–8:00 PM,2026-07-30T09:00,2026-07-30T20:00,active,2026-07-28,2026-07-29,base $4300; using net effective rent,streeteasy_html
"225 13th Street #D2, Brooklyn, NY",$3750,1,1,,https://streeteasy.com/building/225-13-street-brooklyn/d2,Park Slope,,,,,,,active,2026-07-27,2026-07-29,,streeteasy_html
"225 East 30th Street #2R, New York, NY",$3600,1,1,,https://streeteasy.com/building/225-east-30-street-new_york/2r,Kips Bay,,,,,,,active,2026-07-28,2026-07-29,,streeteasy_html
